QDM Concept	C/A	QDM Attribute	QI Core Profile	QI Core Profile.field	QI Core field	QICore-card	QICore-MS	USCore Profile	USCore-card	USCore-MS	Resource	Comments
"Encounter, Order "	A	facilityLocation 	QICoreServiceRequest	ServiceRequest.locationCode 	locationCode 			USCore ServiceRequest			ServiceRequest	 
"Encounter, Order "	A	priority 	QICoreServiceRequest	ServiceRequest.modifierExtension:isElective 	modifierExtension:isElective 			USCore ServiceRequest			ServiceRequest	 
"Encounter, Order "	A	negationRationale 	QICoreServiceNotRequested	QICoreServiceNotRequested.extension:reasonRefused	.extension:reasonRefused			USCore ServiceRequest			ServiceRequest	 
"Encounter, Order "	A	requester 	QICoreServiceRequest	ServiceRequest.requester 	requester 			USCore ServiceRequest			ServiceRequest	 
"Encounter, Performed "	C	 	QICoreEncounter	QICoreEncounter.status 	status 			USCoreEncounter			Encounter	"constrain to - arrived, triaged, in-progress, on-leave, finished  Note: most retrospective eCQMs will constrain QICoreEncounter.status to “finished”. Measures designed to monitor active encounters should consider using “in-progress”. "
"Encounter, Performed "	A	code 	QICoreEncounter	QICoreEncounter.type 	type 			USCoreEncounter			Encounter	Uses value set: USCoreEncounterType 
"Encounter, Performed "	A	id 	QICoreEncounter	QICoreEncounter.id 	id 			USCoreEncounter			Encounter	 
"Encounter, Performed "	A	class 	QICoreEncounter	QICoreEncounter.class 	class 			USCoreEncounter			Encounter	New in QDM 5.6 uses V3 Value Set ActEncounterCode 
"Encounter, Performed "	A	relatedTo 	QICoreEncounter	QICoreEncounter.basedOn 	basedOn 			USCoreEncounter			Encounter	New in QDM 5.6 
"Encounter, Performed "	A	relevantPeriod 	QICoreEncounter	QICoreEncounter.period 	period 			USCoreEncounter			Encounter	start and end time of encounter 
"Encounter, Performed "	A	diagnoses 	QICoreEncounter	diagnosis	 			USCoreEncounter			Encounter	 
"Encounter, Performed "	A	diagnosis (code) 	QICoreEncounter	QICoreEncounter.diagnosis.condition 	diagnosis 			USCoreEncounter			Encounter	can be used for coded diagnoses  [Note to balloters](index.html#note-to-balloters) 
"Encounter, Performed "	A	presentOnAdmissionIndicator (code) 	QICoreEncounter	QICoreEncounter.diagnosis.extension:diagnosisPresentOnAdmission 	diagnosis 			USCoreEncounter			Encounter	Indicator of whether the Encounter diagnosis was present at the time of admission. Note: this element uses the value set (required) diagnosis-on-admission (the same value set as used with the claim resource) 
"Encounter, Performed "	A	rank (Integer) 	QICoreEncounter	QICoreEncounter.diagnosis.rank 	diagnosis 			USCoreEncounter			Encounter	for each diagnosis role 
"Encounter, Performed "	A	procedure	QICoreEncounter	QICoreEncounter.extension.procedure	 			USCoreEncounter			Encounter	QIcore-encounter-procedure 
"Encounter, Performed "	A	procedure.rank	QICoreEncounter	QICoreEncounter.extension:procedure.extension:rank.value[x] 	extension:rank 			USCoreEncounter			Encounter	"References the rank; for principal procedure, the rank =1 "
"Encounter, Performed "	A	procedure.procedure	QICoreEncounter	QICoreEncounter.extension:procedure.extension:procedure.value[x] 	procedure 			USCoreEncounter			Encounter	A reference to the procedure that was performed 
"Encounter, Performed "	A	lengthOfStay 	QICoreEncounter	QICoreEncounter.length 	length 			USCoreEncounter			Encounter	 
"Encounter, Performed "	A	authorDatetime 	QICoreEncounter	N/A	N/A			USCoreEncounter			Encounter	 
"Encounter, Performed "	A	admissionSource 	QICoreEncounter	QICoreEncounter.hospitalization.admitSource 	hospitalization 			USCoreEncounter			Encounter	 
"Encounter, Performed "	A	dischargeDisposition 	QICoreEncounter	QICoreEncounter.hospitalization.dischargeDisposition 	hospitalization 			USCoreEncounter			Encounter	"E.g., home, hospice, long-term care, etc. "
"Encounter, Performed "	A	 	QICoreEncounter	QICoreEncounter.hospitalizaton.destination	 			USCoreEncounter			Encounter	 
"Encounter, Performed "	A	facilityLocations	QICoreEncounter	QICoreEncounter.location.location 	location.location			USCoreEncounter			Encounter	 
"Encounter, Performed "	A	facilityLocations.code 	QICoreEncounter	QICoreEncounter.location.code 	location.code			USCoreEncounter			Encounter	 
"Encounter, Performed "	A	facilityLocations.locationPeriod 	QICoreEncounter	QICoreEncounter.location.period 	location.period			USCoreEncounter			Encounter	 
"Encounter, Performed "	A	participant 	QICoreEncounter	QICoreEncounter.participant.individual 	participant 			USCoreEncounter			Encounter	 
"Encounter, Performed "	A	 	QICoreEncounter	QICoreEncounter.serviceProvider 	serviceProvider 			USCoreEncounter			Encounter	QICoreEncounter.serviceProvider identifies the organization that is primarily responsible for the Encounter’s services. 
"Encounter, Recommended "	C	 	QICoreServiceRequest	ServiceRequest.status 	status 			USCore ServiceRequest			ServiceRequest	"Constrain to active, completed "
"Encounter, Recommended "	C	 	QICoreServiceRequest	ServiceRequest.intent 	intent 			USCore ServiceRequest			ServiceRequest	"Constrain only to ""plan"" "
"Encounter, Recommended "	A	code 	QICoreServiceRequest	ServiceRequest.code 	code 			USCore ServiceRequest			ServiceRequest	 
"Encounter, Recommended "	A	id 	QICoreServiceRequest	ServiceRequest.id 	id 			USCore ServiceRequest			ServiceRequest	 
"Encounter, Recommended "	A	reason 	QICoreServiceRequest	ServiceRequest.reasonCode 	reasonCode 			USCore ServiceRequest			ServiceRequest	 
"Encounter, Recommended "	A	authorDatetime 	QICoreServiceRequest	ServiceRequest.authoredOn 	authoredOn 			USCore ServiceRequest			ServiceRequest	When the request transitioned to being actionable. 
"Encounter, Recommended "	A	facilityLocation 	QICoreServiceRequest	ServiceRequest.locationCode 	locationCode 			USCore ServiceRequest			ServiceRequest	 
"Encounter, Recommended "	A	priority 	QICoreServiceRequest	ServiceRequest.modifierExtension:isElective 	modifierExtension:isElective 			USCore ServiceRequest			ServiceRequest	 
"Encounter, Recommended "	A	negationRationale 	QICoreServiceNotRequested	QICoreServiceNotRequested.extension:reasonRefused	.extension:reasonRefused			USCore ServiceRequest			ServiceRequest	 
"Encounter, Recommended "	A	requester 	QICoreServiceRequest	ServiceRequest.requester 	requester 			USCore ServiceRequest			ServiceRequest	 
Family History 	C	 	QICoreFamilyMemberHistory	FamilyMemberHistory.status 	status 			0			FamilyMemberHistory	"Constrain to partial, completed "
Family History 	A	code 	QICoreFamilyMemberHistory	FamilyMemberHistory.condition.code 	condition 			0			FamilyMemberHistory	 
Family History 	A	id 	QICoreFamilyMemberHistory	FamilyMemberHistory.id 	id 			0			FamilyMemberHistory	 
Family History 	A	authorDatetime 	QICoreFamilyMemberHistory	FamilyMemberHistory.date 	date 			0			FamilyMemberHistory	 
Family History 	A	relationship 	QICoreFamilyMemberHistory	FamilyMemberHistory.relationship 	relationship 			0			FamilyMemberHistory	 
Family History 	A	recorder 	QICoreFamilyMemberHistory	N/A	N/A			0			FamilyMemberHistory	 
"Immunization, Administered "	C	 	QICoreImmunization	QICoreImmunization.status 	status 			USCoreImmunization			Immunization	"Constrain to ""completed"" "
"Immunization, Administered "	A	code 	QICoreImmunization	QICoreImmunization.vaccineCode 	vaccineCode 			USCoreImmunization			Immunization	 
"Immunization, Administered "	A	id 	QICoreImmunization	QICoreImmunization.id 	id 			USCoreImmunization			Immunization	 
"Immunization, Administered "	A	dosage 	QICoreImmunization	QICoreImmunization.doseQuantity 	doseQuantity 			USCoreImmunization			Immunization	 
"Immunization, Administered "	A	negationRationale 	QICoreImmunizationNotDone	QICoreImmunizationNotDone.statusReason	statusReason 			USCoreImmunization			Immunization	 
"Immunization, Administered "	A	route 	QICoreImmunization	QICoreImmunization.route 	route 			USCoreImmunization			Immunization	 
"Immunization, Administered "	A	reason 	QICoreImmunization	QICoreImmunization.reasonCode 	reasonCode 			USCoreImmunization			Immunization	 
"Immunization, Administered "	A	relevantDatetime 	QICoreImmunization	QICoreImmunization.occurence[x] 	occurence[x] 			USCoreImmunization			Immunization	 
"Immunization, Administered "	A	authorDatetime 	QICoreImmunization	QICoreImmunization.recorded 	recorded 			USCoreImmunization			Immunization	 
"Immunization, Administered "	A	performer 	QICoreImmunization	QICoreImmunization.performer.actor 	performer 			USCoreImmunization			Immunization	 
"Immunization, Order "	C	 	QICoreMedicationRequest	QICoreMedicationRequest.status 	status 			USCoreMedicationRequest			MedicationRequest	"Constrain to active, completed "
"Immunization, Order "	C	 	QICoreMedicationRequest	QICoreMedicationRequest.statusReason 	statusReason 			USCoreMedicationRequest			MedicationRequest	The reason for ordering or not ordering the medication 
"Immunization, Order "	C	 	QICoreMedicationRequest	QICoreMedicationRequest.intent 	intent 			USCoreMedicationRequest			MedicationRequest	"Constrain to ""order"" for Medication, Order - note that QDM does not include Medication, Recommended - should that concept be desired, use QICoreMedicationRequest.intent constrained to ""plan"" "
"Immunization, Order "	A	code 	QICoreMedicationRequest	QICoreMedicationRequest.medication[x] 	medication[x] 			USCoreMedicationRequest			MedicationRequest	RxNorm 
"Immunization, Order "	A	id 	QICoreMedicationRequest	QICoreMedicationRequest.id 	id 			USCoreMedicationRequest			MedicationRequest	 
"Immunization, Order "	A	activeDatetime 	QICoreMedicationRequest	QICoreMedicationRequest.dosageInstruction.timing 	dosageInstruction 			USCoreMedicationRequest			MedicationRequest	QDM defines active dateTime as when the order indicates the first immunization administration should occur. Active dateTime is most often used to specify immunizations for which administration is intended at a specific time in the future. FHIR allows specification of the period during which the immunization should occur (start dateTime to end dateTime) 
"Immunization, Order "	A	authorDatetime 	QICoreMedicationRequest	QICoreMedicationRequest.authoredOn 	authoredOn 			USCoreMedicationRequest			MedicationRequest	 
"Immunization, Order "	A	dosage 	QICoreMedicationRequest	QICoreMedicationRequest.dosageInstruction.doseAndRate.dose 	dosageInstruction 			USCoreMedicationRequest			MedicationRequest	"Range, quantity "
"Immunization, Order "	A	route 	QICoreMedicationRequest	QICoreMedicationRequest.dosageInstruction.route 	dosageInstruction 			USCoreMedicationRequest			MedicationRequest	 
"Immunization, Order "	A	reason 	QICoreMedicationRequest	QICoreMedicationRequest.reasonCode 	reasonCode 			USCoreMedicationRequest			MedicationRequest	The reason for ordering or not ordering the medication 
"Immunization, Order "	A	supply 	QICoreMedicationRequest	QICoreMedicationRequest.dispenseRequest.quantity 	dispenseRequest 			USCoreMedicationRequest			MedicationRequest	Amount to be dispensed in one fill 
"Immunization, Order "	A	negationRationale 	QICoreMedicationNotRequested	QICoreMedicationNotRequested.statusReason	statusReason			USCoreMedicationRequest			MedicationRequest	 
"Immunization, Order "	A	requester 	QICoreMedicationRequest	QICoreMedicationRequest.requester 	requester 			USCoreMedicationRequest			MedicationRequest	Note - QICoreMedicationRequest.performer indicates the performer expected to administer the medication 
Patient 	A	identifier 	QICorePatient	QICorePatient.identifier.value 	identifier 			USCorePatient			Patient	 
Patient 	A	id 	QICorePatient	QICorePatient.id 	id 			USCorePatient			Patient	 
Care Partner	A	identifier 	RelatedPerson 	RelatedPerson.identifier 	identifier 			#N/A			#N/A	 
Care Partner	A	id 	RelatedPerson 	RelatedPerson.id 	id 			#N/A			#N/A	 
Care Partner	A	relationship 	RelatedPerson 	RelatedPerson.relationship 	relationship 			#N/A			#N/A	 
Practitioner	A	identifier 	QICorePractitioner	QICorePractitioner.identifier 	identifier 			USCorePractitioner			Practitioner	 
Practitioner	A	id 	QICorePractitioner	QICorePractitioner.id 	id 			USCorePractitioner			Practitioner	 
Practitioner	A	role 	QICorePractitionerRole	QICorePractitionerRole.code 	code 			USCorePractitionerRole			PractitionerRole	 
Practitioner	A	specialty 	QICorePractitionerRole	QICorePractitionerRole.specialty 	specialty 			USCorePractitionerRole			PractitionerRole	 
Practitioner	A	qualification 	QICorePractitioner	QICorePractitioner.qualification.code 	qualification 			USCorePractitioner			Practitioner	 
Organization	A	identifier 	QICoreOrganization	QICoreOrganization.identifier 	identifier 			USCoreOrganization			Organization	 
Organization	A	id 	QICoreOrganization	QICoreOrganizationn.id 	id 			USCoreOrganization			Organization	 
Organization	A	organizationType 	QICoreOrganization	QICoreOrganization.type 	type 			USCoreOrganization			Organization	QDM attribute name update in QDM 5.6 
Location	A	identifier 	QICoreLocation	QICoreLocation.identifier.value 	identifier 			USCoreLocation			Location	New in QDM 5.6 
Location	A	id 	QICoreLocation	QICoreLocation.id 	id 			USCoreLocation			Location	New in QDM 5.6 
Location	A	locationType 	QICoreLocation	QICoreLocation.type 	type 			USCoreLocation			Location	New in QDM 5.6 
Race 	A	code 	QICorePatient	QICorePatient.extension:race 	extension:race 			USCorePatient			Patient	 
Race 	A	id 	QICorePatient	 	 			USCorePatient			Patient	 
Ethnicity 	A	code 	QICorePatient	QICorePatient.extention:ethnicity 	extention:ethnicity 			USCorePatient			Patient	See US CoreEthnicityExtension for details 
Ethnicity 	A	id 	QICorePatient	 	 			USCorePatient			Patient	 
Sex	A	code 	QICorePatient	QICorePatient.extension:birthsex 	extension:birthsex 			USCorePatient			Patient	 
Sex	A	code 	QICorePatient	QICorePatient.gender 	gender 			USCorePatient			Patient	Administrative Gender 
Sex	A	id 	QICorePatient	 	 			USCorePatient			Patient	 
Birthdate	A	birthDatetime 	QICorePatient	QICorePatient.birthdate 	birthdate 			USCorePatient			Patient	Fixed code 21112-8 
Birthdate	A	id 	QICorePatient	 	 			USCorePatient			Patient	 
Expired	A	code 	QICorePatient	QICorePatient.deceased[x]	deceased[x]			USCorePatient			Patient	 
Expired	A	id 	QICorePatient	 	 			USCorePatient			Patient	 
Expired	A	expirationDatetime 	QICorePatient	QICorePatient.deceased[x]	deceased[x]			USCorePatient			Patient	 
Payer	A	code 	QICoreCoverage	QICoreCoverage.payor 	payor 			0			Coverage	"QI-Core currently maps to policy holder which actually references the person who owns the policy, not the payor. "
Payer	A	relevantPeriod 	QICoreCoverage	QICoreCoverage.period 	period 			0			Coverage	 
Payer	A	id 	QICoreCoverage	QICoreCoverage.id 	id 			0			Coverage	 
Race 	A	N/A 		 	 			#N/A			#N/A	Requires definition for modeling a characteristic to QI-Core and FHIR 
Related Person 	A	identifier 	RelatedPerson 	RelatedPerson.identifier 	identifier 			#N/A			#N/A	 
Related Person 	A	id 	RelatedPerson 	RelatedPerson.id 	id 			#N/A			#N/A	 
Related Person 	A	linkedPatientId 	N/A	N/A	N/A			#N/A			#N/A	Not present in QI-Core 
Related Person 	A	code 	RelatedPerson 	RelatedPerson.relationship 	relationship 			#N/A			#N/A	 
"Intervention, Performed "	C	 	QICoreProcedure	QICoreProcedure.category 	category 			USCoreProcedure			Procedure	"Helps differentiate ""intervention"" from ""procedure"" "
"Intervention, Performed "	A	status 	QICoreProcedure	QICoreProcedure.status 	status 			USCoreProcedure			Procedure	"constrain to ""completed"" "
"Intervention, Performed "	A	code 	QICoreProcedure	QICoreProcedure.code 	code 			USCoreProcedure			Procedure	 
"Intervention, Performed "	A	id 	QICoreProcedure	QICoreProcedure.id 	id 			USCoreProcedure			Procedure	 
"Intervention, Performed "	A	relatedTo 	QICoreProcedure	QICoreProcedure.basedOn 	basedOn 			USCoreProcedure			Procedure	A reference to a resource that contains details of the request for this QICoreProcedure. New in QDM 5.6 
"Intervention, Performed "	A	method 	QICoreProcedure	N/A	N/A			USCoreProcedure			Procedure	"QICoreProcedure.method does not exist in FHIR. Rather than create an extension, QI-Core's approach is to assume the QICoreProcedure.code includes reference to the method. "
"Intervention, Performed "	A	rank 	QICoreEncounter	QICoreEncounter.extension.extension:rank.value[x] 	extension 			USCoreEncounter			Encounter	Referenced as attributes of Encounter ([QICoreEncounter.extension.extension:rank.value[x]:valuePositiveInt](StructureDefinition-qicore-encounter-procedure-definitions.html#Extension.extension:rank.value[x])).   Encounter refers to procedure
"Intervention, Performed "	A	priority 	QICoreEncounter	QICoreEncounter.priority	priority			USCoreEncounter			Encounter	"This QDM attribute is intended to reference elective from non-elective procedures.<br/><br/>QI-Core references procedure.priority based on the relationship of the procedure to the Encounter; hence, QICoreEncounter.procedure (which is an extension). <br/><br/>The elective nature of a procedure can also be referenced based on the elective nature of an Encounter ([QICoreEncounter.priority](StructureDefinition-qicore-encounter-definitions.html#QICoreEncounter.priority)) for which the respective procedure is a principal procedure.<br/><br/>The concept may also be addressed as an Encounter, Order or Procedure, Order (both using [ServiceRequest](StructureDefinition-qicore-servicerequest.html)) and [ServiceRequest.priority](StructureDefinition-qicore-servicerequest-definitions.html#ServiceRequest.priority). "
"Intervention, Performed "	A	anatomicalLocationSite 	QICoreProcedure	QICoreProcedure.bodySite 	bodySite 			USCoreProcedure			Procedure	 
"Intervention, Performed "	A	reason 	QICoreProcedure	QICoreProcedure.reasonCode 	reasonCode 			USCoreProcedure			Procedure	 
"Intervention, Performed "	A	result 	QICoreProcedure	QICoreProcedure.report	report			USCoreProcedure			Procedure	"[QICoreProcedure.report](StructureDefinition-qicore-procedure-definitions.html#QICoreProcedure.report) references [DiagnosticReport-note](StructureDefinition-qicore-diagnosticreport-note.html), DocumentReference, Composition (histology result, pathology report, surgical report, etc.); the latter two are not QI-Core resources. However, based on feedback regarding the use of the [Observation](StructureDefinition-qicore-observation.html) resource, a procedure result might be better referenced as an [Observation](StructureDefinition-qicore-observation.html) that includes the element [Observation.partOf](StructureDefinition-qicore-observation-definitions.html#Observation.partOf) to reference the procedure to which it applies. "
"Intervention, Performed "	A	 	QICoreProcedure	Observation.partOf 	partOf 			USCoreProcedure			Procedure	Reference to a resource that contains details of the request for this QICoreProcedure. 
"Intervention, Performed "	A	negationRationale 	QICoreProcedureNotDone	QICoreProcedureNotDone.statusReason	statusReason			USCoreProcedure			Procedure	 
"Intervention, Performed "	A	relevantDatetime 	QICoreProcedure	QICoreProcedure.performed[x] 	performed[x] 			USCoreProcedure			Procedure	 
"Intervention, Performed "	A	relevantPeriod 	QICoreProcedure	QICoreProcedure.performed[x] 	performed[x] 			USCoreProcedure			Procedure	 
"Intervention, Performed "	A	incisionDatetime 	QICoreProcedure	QICoreProcedure.extension:incisionDateTime 	extension:incisionDateTime 			USCoreProcedure			Procedure	 
"Intervention, Performed "	A	authorDatetime 	QICoreProcedure	QICoreProcedure.extension:recorded 	extension:recorded 			USCoreProcedure			Procedure	"The concept ""author"" requires a reference to a report about the procedure or about an indication the procedure was not performed. Therefore, the procedure resource does not have a reference to author dateTime. Author dateTime can reference a report about the procedure or an observation describing that result (e.g., Observation with metadata Observation.partOf procedure). However, QICoreProcedure.statusReason needs to address a dateTime that it is recorded. "
"Intervention, Performed "	A	 	QICoreProcedure	QICoreProcedure.usedReference 	usedReference 			USCoreProcedure			Procedure	"To add reference to a device, medication, or substance used as part of an intervention the QI-Core element to address the device is QICoreProcedure.usedReference "
"Intervention, Performed "	A	components 	QICoreProcedure	N/A	N/A			USCoreProcedure			Procedure	Procedure does not include components and the concept of components references a observation that is a result of the procedure ([Observation.partOf](StructureDefinition-qicore-observation-definitions.html#Observation.partOf)) for which that observation has components consistent with the Observation component modeling recommendation in FHIR. 
"Intervention, Performed "	A	component.code 	QICoreProcedure	N/A	N/A			USCoreProcedure			Procedure	N/A 
"Intervention, Performed "	A	component.result 	QICoreProcedure	N/A	N/A			USCoreProcedure			Procedure	N/A 
"Intervention, Performed "	A	performer 	QICoreProcedure	QICoreProcedure.performer.actor 	performer 			USCoreProcedure			Procedure	 
"Intervention, Order "	C	 	QICoreServiceRequest	ServiceRequest.status 	status 			USCore ServiceRequest			ServiceRequest	"Constrain to active, completed "
"Intervention, Order "	C	 	QICoreServiceRequest	ServiceRequest.intent 	intent 			USCore ServiceRequest			ServiceRequest	"Constrain only to ""order"" (include children: original-order, reflex-order, filler-order, instance-order) "
"Intervention, Order "	A	code 	QICoreServiceRequest	ServiceRequest.code 	code 			USCore ServiceRequest			ServiceRequest	 
"Intervention, Order "	A	id 	QICoreServiceRequest	ServiceRequest.id 	id 			USCore ServiceRequest			ServiceRequest	 
"Intervention, Order "	A	reason 	QICoreServiceRequest	ServiceRequest.reasonCode 	reasonCode 			USCore ServiceRequest			ServiceRequest	 
"Intervention, Order "	A	authorDatetime 	QICoreServiceRequest	ServiceRequest.authoredOn 	authoredOn 			USCore ServiceRequest			ServiceRequest	When the request transitioned to being actionable. 
"Intervention, Order "	A	negationRationale 	QICoreServiceNotRequested	QICoreServiceNotRequested.extension:reasonRefused	.extension:reasonRefused			USCore ServiceRequest			ServiceRequest	 
"Intervention, Order "	A	requester 	QICoreServiceRequest	ServiceRequest.requester 	requester 			USCore ServiceRequest			ServiceRequest	 
"Intervention, Recommended "	C	 	QICoreServiceRequest	ServiceRequest.status 	status 			USCore ServiceRequest			ServiceRequest	"Constrain to active, completed "
"Intervention, Recommended "	C	 	QICoreServiceRequest	ServiceRequest.intent 	intent 			USCore ServiceRequest			ServiceRequest	"Constrain only to ""plan"" "
"Intervention, Recommended "	A	code 	QICoreServiceRequest	ServiceRequest.code 	code 			USCore ServiceRequest			ServiceRequest	 
"Intervention, Recommended "	A	id 	QICoreServiceRequest	ServiceRequest.id 	id 			USCore ServiceRequest			ServiceRequest	 
"Intervention, Recommended "	A	reason 	QICoreServiceRequest	ServiceRequest.reasonCode 	reasonCode 			USCore ServiceRequest			ServiceRequest	 
"Intervention, Recommended "	A	authorDatetime 	QICoreServiceRequest	ServiceRequest.authoredOn 	authoredOn 			USCore ServiceRequest			ServiceRequest	When the request transitioned to being actionable. 
"Intervention, Recommended "	A	negationRationale 	QICoreServiceNotRequested	QICoreServiceNotRequested.extension:reasonRefused	.extension:reasonRefused			USCore ServiceRequest			ServiceRequest	 
"Intervention, Recommended "	A	requester 	QICoreServiceRequest	ServiceRequest.requester 	requester 			USCore ServiceRequest			ServiceRequest	 
"Laboratory Test, Order "	C	 	QICoreServiceRequest	ServiceRequest.status 	status 			USCore ServiceRequest			ServiceRequest	"Constrain to active, completed "
"Laboratory Test, Order "	C	 	QICoreServiceRequest	ServiceRequest.intent 	intent 			USCore ServiceRequest			ServiceRequest	"Constrain only to ""order"" (include children: original-order, reflex-order, filler-order, instance-order) "
"Laboratory Test, Order "	A	code 	QICoreServiceRequest	ServiceRequest.code 	code 			USCore ServiceRequest			ServiceRequest	 
"Laboratory Test, Order "	A	id 	QICoreServiceRequest	ServiceRequest.id 	id 			USCore ServiceRequest			ServiceRequest	 
"Laboratory Test, Order "	A	reason 	QICoreServiceRequest	ServiceRequest.reasonCode 	reasonCode 			USCore ServiceRequest			ServiceRequest	 
"Laboratory Test, Order "	A	authorDatetime 	QICoreServiceRequest	ServiceRequest.authoredOn 	authoredOn 			USCore ServiceRequest			ServiceRequest	When the request transitioned to being actionable. 
"Laboratory Test, Order "	A	negationRationale 	QICoreServiceNotRequested	QICoreServiceNotRequested.extension:reasonRefused	.extension:reasonRefused			USCore ServiceRequest			ServiceRequest	 
"Laboratory Test, Order "	A	requester 	QICoreServiceRequest	ServiceRequest.requester 	requester 			USCore ServiceRequest			ServiceRequest	 
"Laboratory Test, Performed "	C	 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.status 	status 			USCore Laboratory Result Observation			Observation	"Constrain status to -  final, amended, corrected "
"Laboratory Test, Performed "	A	code 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.code 	code 			USCore Laboratory Result Observation			Observation	 
"Laboratory Test, Performed "	A	id 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.id 	id 			USCore Laboratory Result Observation			Observation	 
"Laboratory Test, Performed "	A	method 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.method 	method 			USCore Laboratory Result Observation			Observation	 
"Laboratory Test, Performed "	A		QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.bodySite 	bodySite 			USCore Laboratory Result Observation			Observation	Is this right? SAK
"Laboratory Test, Performed "	A	negationRationale 	QICoreObservationNotDone	QICoreObservationNotDone.extension:notDoneReason	.extension:notDoneReason			0			Observation	 
"Laboratory Test, Performed "	A	reason 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.basedOn 	basedOn 			USCore Laboratory Result Observation			Observation	"Allows reference to [QICore CarePlan](StructureDefinition-qicore-careplan.html), [QICore DeviceRequest](StructureDefinition-qicore-devicerequest.html), [QICore ImmunizationRecommendation](StructureDefinition-qicore-immunizationrec.html), [QICore MedicationRequest](StructureDefinition-qicore-medicationrequest.html), [QICore NutritionOrder](StructureDefinition-qicore-nutritionorder.html), [QICore ServiceRequest](StructureDefinition-qicore-servicerequest.html) "
"Laboratory Test, Performed "	A	result 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.value[x] 	value[x] 			USCore Laboratory Result Observation			Observation	 
"Laboratory Test, Performed "	A	interpretation 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.interpretation 	interpretation 			USCore Laboratory Result Observation			Observation	New in QDM 5.6 
"Laboratory Test, Performed "	A	 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.specimen 	specimen 			USCore Laboratory Result Observation			Observation	 
"Laboratory Test, Performed "	A	relatedTo 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.partOf 	partOf 			USCore Laboratory Result Observation			Observation	"Allows reference to [QICore MedicationAdministration](StructureDefinition-qicore-medicationadministration.html), [QICore MedicationDispense](StructureDefinition-qicore-medicationdispense.html), [QICore MedicationStatement](StructureDefinition-qicore-medicationstatement.html), [QICore Procedure](StructureDefinition-qicore-procedure.html), [QICore Immunization](StructureDefinition-qicore-immunization.html), [QICore ImagingStudy](StructureDefinition-qicore-imagingstudy.html) "
"Laboratory Test, Performed "	A	resultDatetime 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.issued 	issued 			USCore Laboratory Result Observation			Observation	 
"Laboratory Test, Performed "	A	relevantDatetime 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.effective[x] 	effective[x] 			USCore Laboratory Result Observation			Observation	 
"Laboratory Test, Performed "	A	relevantPeriod 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.effective[x] 	effective[x] 			USCore Laboratory Result Observation			Observation	 
"Laboratory Test, Performed "	A	status 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.status 	status 			USCore Laboratory Result Observation			Observation	"Constrain status to -  final, amended, corrected "
"Laboratory Test, Performed "	A	authorDatetime 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.issued 	issued 			USCore Laboratory Result Observation			Observation	"Issued - the date and time this version of the observation was made available to providers, typically after the results have been reviewed and verified. The *.issued* element also addresses the time for capture of dataAbsentReason. "
"Laboratory Test, Performed "	A	referenceRangeHigh 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.referenceRange.high 	referenceRange 			USCore Laboratory Result Observation			Observation	 
"Laboratory Test, Performed "	A	referenceRangeLow 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.referenceRange.low 	referenceRange 			USCore Laboratory Result Observation			Observation	 
"Laboratory Test, Performed "	A	component 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.component 	component 			USCore Laboratory Result Observation			Observation	 
"Laboratory Test, Performed "	A	 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.component.id 	component 			USCore Laboratory Result Observation			Observation	 
"Laboratory Test, Performed "	A	component.code 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.component.code 	component 			USCore Laboratory Result Observation			Observation	 
"Laboratory Test, Performed "	A	component.result 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.component.value[x] 	component 			USCore Laboratory Result Observation			Observation	 
"Laboratory Test, Performed "	A	 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.component.interpretation 	component 			USCore Laboratory Result Observation			Observation	 
"Laboratory Test, Performed "	A	 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.component.dataAbsentReason 	component 			USCore Laboratory Result Observation			Observation	 
"Laboratory Test, Performed "	A	component.referenceRangeHigh 	QICoreLaboratoryResultObservation	QICoreLaboratoryResultObservation.component.referenceRange 	component 			USCore Laboratory Result Observation			Observation	 
